origin,destin,id,dist,passen,fare,ldist,lfare,ldistsq,concen,lpassen
"AKRON, OH","ATLANTA, GA",1,0.528,0.298,123,6.2690964,4.8121843,39.30157,0.86120003,5.6970935
"AKRON, OH","ORLANDO, FL",2,0.861,0.19,129,6.7580943,4.8598123,45.671837,0.5386,5.247024
"ALBANY, NY","ATLANTA, GA",3,0.852,0.244,247,6.7475867,5.5093884,45.529926,0.7097,5.497168
"ALBANY, NY","CHICAGO, IL",4,0.724,0.339,176,6.584791,5.170484,43.359474,0.3716,5.826
"ALBANY, NY","ORLANDO, FL",5,1.073,0.71,109,6.978214,4.691348,48.69547,0.5197,6.565265
"ALBANY, NY","WASHINGTON, DC",6,0.318,0.163,171,5.7620516,5.1416636,33.201237,0.96930003,5.09375
"ALBUQUERQUE, NM","ATLANTA, GA",7,1.27,0.197,220,7.1467724,5.3936276,51.076355,0.62310004,5.2832036
"ALBUQUERQUE, NM","AUSTIN, TX",8,0.614,0.192,161,6.419995,5.081404,41.216335,0.64199996,5.2574954
"ALBUQUERQUE, NM","BALTIMORE, MD",9,1.673,0.31,152,7.422374,5.0238805,55.091633,0.2847,5.7365723
"ALBUQUERQUE, NM","BOSTON, MA",10,1.976,0.187,214,7.58883,5.365976,57.59034,0.3001,5.2311087
"ALBUQUERQUE, NM","CHICAGO, IL",11,1.118,0.383,188,7.0192966,5.236442,49.270527,0.48470002,5.948035
"ALBUQUERQUE, NM","DALLAS, TX",12,0.58,0.954,117,6.363028,4.762174,40.488125,0.6883,6.860664
"ALBUQUERQUE, NM","DENVER, CO",13,0.349,0.319,198,5.855072,5.288267,34.281868,0.71919996,5.765191
"ALBUQUERQUE, NM","EL PASO, TX",14,0.223,0.241,75,5.4071717,4.317488,29.237507,0.84650004,5.484797
"ALBUQUERQUE, NM","HOUSTON, TX",15,0.745,0.443,151,6.6133842,5.0172796,43.73685,0.49310002,6.0935698
"ALBUQUERQUE, NM","KANSAS CITY, MO",16,0.719,0.178,149,6.5778613,5.0039463,43.26826,0.8061,5.1817837
"ALBUQUERQUE, NM","LAS VEGAS, NV",17,0.487,0.678,105,6.188264,4.65396,38.29461,0.9279,6.5191474
"ALBUQUERQUE, NM","LOS ANGELES, CA",18,0.677,0.806,131,6.517671,4.8751974,42.480038,0.8754,6.692084
"ALBUQUERQUE, NM","MINNEAPOLIS, MN",19,0.982,0.181,193,6.889591,5.26269,47.46647,0.6575,5.198497
"ALBUQUERQUE, NM","NEW YORK, NY",20,1.817,0.355,250,7.504942,5.521461,56.324154,0.29479998,5.872118
"ALBUQUERQUE, NM","OAKLAND, CA",21,0.889,0.372,154,6.790097,5.0369525,46.10542,0.875,5.918894
"ALBUQUERQUE, NM","ONTARIO, CA",22,0.632,0.178,131,6.4488893,4.8751974,41.588173,0.65830004,5.1817837
"ALBUQUERQUE, NM","ORLANDO, FL",23,1.554,0.197,169,7.3485875,5.1298985,54.00174,0.5633,5.2832036
"ALBUQUERQUE, NM","PHOENIX, AZ",24,0.328,1.454,68,5.7930136,4.2195077,33.559006,0.8254,7.2820735
"ALBUQUERQUE, NM","PORTLAND, OR",25,1.113,0.208,156,7.0148144,5.049856,49.207623,0.3159,5.3375382
"ALBUQUERQUE, NM","SALT LAKE CITY, UT",26,0.494,0.167,124,6.2025356,4.8202815,38.471447,0.5098,5.117994
"ALBUQUERQUE, NM","SAN ANTONIO, TX",27,0.61,0.182,158,6.413459,5.062595,41.132454,0.75339997,5.2040067
"ALBUQUERQUE, NM","SAN DIEGO, CA",28,0.628,0.37,133,6.44254,4.890349,41.506325,0.839,5.913503
"ALBUQUERQUE, NM","SAN FRANCISCO, CA",29,0.897,0.202,146,6.799056,4.983607,46.22716,0.345,5.3082676
"ALBUQUERQUE, NM","SAN JOSE, CA",30,0.871,0.205,155,6.769642,5.043425,45.828053,0.6163,5.32301
"ALBUQUERQUE, NM","SEATTLE, WA",31,1.181,0.288,156,7.0741167,5.049856,50.04313,0.4917,5.6629605
"ALBUQUERQUE, NM","ST. LOUIS, MO",32,0.935,0.165,156,6.8405466,5.049856,46.79308,0.5687,5.1059456
"ALBUQUERQUE, NM","WASHINGTON, DC",33,1.648,0.337,226,7.4073176,5.420535,54.868355,0.4041,5.820083
"ALLENTOWN, PA","CHICAGO, IL",34,0.655,0.138,295,6.4846354,5.6869755,42.050495,0.83489996,4.9272537
"ALLENTOWN, PA","ORLANDO, FL",35,0.907,0.49,118,6.8101425,4.7706847,46.37804,0.5708,6.1944056
"AMARILLO, TX","AUSTIN, TX",36,0.412,0.147,122,6.0210233,4.804021,36.25272,0.8835,4.9904327
"AMARILLO, TX","DALLAS, TX",37,0.324,0.729,72,5.7807436,4.276666,33.416996,0.7715,6.591674
"AMARILLO, TX","HOUSTON, TX",38,0.535,0.272,121,6.2822666,4.7957907,39.466873,0.5918,5.605802
"AMARILLO, TX","LAS VEGAS, NV",39,0.759,0.161,124,6.632002,4.8202815,43.983448,0.9561,5.081404
"ASPEN, CO","DENVER, CO",40,0.125,0.087,158,4.828314,5.062595,23.312614,0.9962,4.465908
"ATLANTA, GA","AUSTIN, TX",41,0.812,0.415,248,6.6995006,5.5134287,44.88331,0.6897,6.0282784
"ATLANTA, GA","BALTIMORE, MD",42,0.576,1.268,173,6.3561077,5.1532917,40.400105,0.6162,7.145196
"ATLANTA, GA","BATON ROUGE, LA",43,0.449,0.156,185,6.107023,5.220356,37.295727,0.921,5.049856
"ATLANTA, GA","BOSTON, MA",44,0.946,2.188,177,6.8522425,5.17615,46.953228,0.7487,7.690743
"ATLANTA, GA","BUFFALO, NY",45,0.712,0.547,115,6.568078,4.744932,43.13965,0.5087,6.3044486
"ATLANTA, GA","CHARLESTON, SC",46,0.259,0.206,218,5.556828,5.3844953,30.878338,0.9614,5.327876
"ATLANTA, GA","CHARLOTTE, NC",47,0.227,0.513,250,5.42495,5.521461,29.430084,0.6904,6.240276
"ATLANTA, GA","CHICAGO, IL",48,0.605,3.415,173,6.4052286,5.1532917,41.026955,0.4592,8.135933
"ATLANTA, GA","CINCINNATI, OH",49,0.373,0.508,216,5.9215784,5.3752785,35.06509,0.9568,6.2304816
"ATLANTA, GA","CLEVELAND, OH",50,0.554,0.616,197,6.317165,5.2832036,39.906574,0.5367,6.423247
"ATLANTA, GA","CO SPRINGS, CO",51,1.186,0.17,205,7.0783415,5.32301,50.102917,0.7328,5.1357985
"ATLANTA, GA","COLUMBIA, SC",52,0.191,0.078,259,5.2522736,5.556828,27.586378,0.96769994,4.356709
"ATLANTA, GA","COLUMBUS, OH",53,0.446,0.45,206,6.100319,5.327876,37.21389,0.8647,6.1092477
"ATLANTA, GA","DALLAS, TX",54,0.732,2.644,189,6.5957804,5.241747,43.50432,0.4768,7.8800483
"ATLANTA, GA","DAYTON, OH",55,0.432,0.642,116,6.0684257,4.75359,36.82579,0.6275,6.464588
"ATLANTA, GA","DENVER, CO",56,1.199,1.303,221,7.089243,5.398163,50.257366,0.49130002,7.172425
"ATLANTA, GA","DETROIT, MI",57,0.594,1.415,132,6.3868794,4.882802,40.79223,0.4909,7.2548847
"ATLANTA, GA","FLINT, MI",58,0.644,0.184,124,6.4676986,4.8202815,41.831123,0.83589995,5.214936
"ATLANTA, GA","FT. LAUDERDALE, FL",59,0.581,1.653,137,6.364751,4.919981,40.51005,0.71720004,7.410347
