female,black,hispanic,bytest,dadcoll,momcoll,ownhome,urban,cue80,stwmfg80,dist,tuition,yrsed,incomehi
0.0,0.0,0.0,39.15,1.0,0.0,1.0,1.0,6.2,8.09,0.2,0.88915,12.0,1.0
1.0,0.0,0.0,48.87,0.0,0.0,1.0,1.0,6.2,8.09,0.2,0.88915,12.0,0.0
0.0,0.0,0.0,48.74,0.0,0.0,1.0,1.0,6.2,8.09,0.2,0.88915,12.0,0.0
0.0,1.0,0.0,40.4,0.0,0.0,1.0,1.0,6.2,8.09,0.2,0.88915,12.0,0.0
1.0,0.0,0.0,40.48,0.0,0.0,0.0,1.0,5.6,8.09,0.4,0.88915,13.0,0.0
0.0,0.0,0.0,54.71,0.0,0.0,1.0,1.0,5.6,8.09,0.4,0.88915,12.0,0.0
1.0,0.0,0.0,56.07,0.0,0.0,1.0,0.0,7.2,8.85,0.4,0.84988,13.0,0.0
1.0,0.0,0.0,54.85,0.0,0.0,1.0,0.0,7.2,8.85,0.4,0.84988,15.0,0.0
0.0,0.0,0.0,64.74,1.0,0.0,1.0,1.0,5.9,8.09,3.0,0.88915,13.0,0.0
1.0,0.0,0.0,56.06,0.0,0.0,1.0,1.0,5.9,8.09,3.0,0.88915,15.0,0.0
1.0,0.0,0.0,42.22,0.0,0.0,1.0,1.0,5.9,8.09,3.0,0.88915,12.0,1.0
1.0,1.0,0.0,61.18,0.0,1.0,1.0,1.0,5.9,8.09,3.0,0.88915,14.0,1.0
0.0,0.0,0.0,59.85,0.0,0.0,1.0,0.0,7.2,8.85,0.1,0.84988,15.0,0.0
1.0,0.0,0.0,58.77,1.0,0.0,1.0,0.0,7.2,8.85,0.1,0.84988,17.0,1.0
1.0,1.0,0.0,53.72,1.0,1.0,1.0,0.0,7.2,8.85,0.1,0.84988,14.0,0.0
0.0,0.0,0.0,61.52,0.0,0.0,1.0,0.0,7.2,8.85,0.1,0.84988,15.0,0.0
1.0,0.0,0.0,52.53,0.0,0.0,1.0,0.0,7.2,8.85,0.1,0.84988,12.0,1.0
1.0,0.0,0.0,45.01,0.0,0.0,1.0,0.0,7.2,8.85,0.1,0.84988,12.0,0.0
